id;name;code;created_date;modified_date;created_by;modified_by
1;firmware;Soft proactive front-end;2022-05-21T14:57:18;2022-05-20T17:23:21;Accountability Usability orchestrate;Balboa
2;e-tailers;Granite;2022-05-21T13:59:32;2022-05-21T07:50:28;Idaho Intelligent Bacon;Toys Checking
3;Branding Computers Georgia;bypass application;2022-05-20T20:12:00;2022-05-20T23:17:50;Soft;Account Dinar Clothing
4;quantifying SSL;Human cross-platform;2022-05-21T06:06:11;2022-05-21T00:35:23;relationships;Malaysia Soap
5;sky;ability copy SDD;2022-05-20T20:26:46;2022-05-20T23:50:43;content withdrawal;Rupee
6;Mills application;EXE;2022-05-21T08:14:53;2022-05-21T05:48:05;Practical port;TCP
7;Automotive Fundamental;haptic innovate;2022-05-21T05:35:08;2022-05-21T04:40:31;USB haptic invoice;invoice robust Colorado
8;Assurance Georgia;reboot;2022-05-20T20:05:48;2022-05-20T18:34:53;deposit Bacon;Drive Integration
9;Internal;firewall homogeneous Montana;2022-05-21T03:31:31;2022-05-21T05:57:22;interface;blue
10;Open-source Minnesota;virtual SCSI;2022-05-21T10:02:40;2022-05-21T06:31:25;vortals Bacon Michigan;Uganda Tennessee
