id;code;expiry_time;created_date;created_by
1;Sharable;optimize;2022-05-21T15:08:47;Orchestrator Viaduct Car
2;Intelligent Cheese Unbranded;Organic;2022-05-21T01:23:44;Product face withdrawal
3;Kids;Internal complexity;2022-05-21T03:59:23;Strategist Account cyan
4;Distributed;protocol Soap;2022-05-21T05:33:34;deposit Computer Chips
5;purple Cliff generating;Stravenue;2022-05-21T06:23:31;Kazakhstan Pizza
6;synthesizing budgetary New;Virtual;2022-05-20T23:38:34;compress Arkansas
7;motivating haptic;whiteboard one-to-one Florida;2022-05-21T01:53:22;Inverse Manat
8;Arizona Account Bedfordshire;Soft;2022-05-21T05:09:26;synthesizing Electronics back
9;Web;e-business;2022-05-21T06:33:04;Manat
10;drive wireless;Investor sexy Consultant;2022-05-21T00:24:04;Architect Shoes
