id;account_number;account_name;wallet_balance;created_date;modified_date
1;Interactions National open;Money Market Account;34126;2022-05-21T12:55:14;2022-05-20T21:56:01
2;Director;Savings Account;97900;2022-05-21T15:15:03;2022-05-20T20:24:43
3;navigate Car;Auto Loan Account;52438;2022-05-21T04:49:29;2022-05-21T13:21:34
4;Refined e-services synthesize;Personal Loan Account;85291;2022-05-20T18:42:07;2022-05-21T13:27:49
5;value-added schemas Brand;Savings Account;17972;2022-05-21T16:21:07;2022-05-21T16:09:58
6;Handcrafted leverage Lari;Investment Account;64920;2022-05-20T21:46:59;2022-05-21T13:52:39
7;purple Thailand;Investment Account;24048;2022-05-21T04:42:05;2022-05-21T14:00:59
8;Marketing;Money Market Account;67747;2022-05-21T07:03:04;2022-05-20T19:09:27
9;Handcrafted;Personal Loan Account;25409;2022-05-21T00:02:14;2022-05-20T21:27:41
10;back-end Refined;Personal Loan Account;43037;2022-05-21T07:42:56;2022-05-20T16:59:05
