id;name;price;barcode;grade;category;image_url;expiry_date;created_date;modified_date;created_by;modified_by
1;Steel;31485;calculating cross-platform Principal;FAIR;SANDWICH;Chilean reboot Dynamic;2022-05-20T23:48:51;2022-05-21T05:22:35;2022-05-20T19:46:36;actuating deposit;Soap withdrawal
2;Metical Incredible;54662;Internal intermediate;FAIR;DRINK;Generic;2022-05-21T08:46:50;2022-05-21T03:37:07;2022-05-21T05:07:16;neutral;Bike
3;Computer CFP orange;9548;Data distributed;FAIR;OTHER;JSON;2022-05-21T03:14:13;2022-05-21T01:53:23;2022-05-20T17:55:42;Steel;solutions
4;Prairie;14557;CSS Bike;POOR;DRINK;Center black pixel;2022-05-21T09:49:39;2022-05-21T02:13:38;2022-05-20T21:50:03;Renminbi rich South;virtual Stand-alone Fantastic
5;Buckinghamshire;8835;AGP lavender;VERY_GOOD;EATS;grey solution;2022-05-20T18:37:06;2022-05-21T03:08:10;2022-05-21T06:48:01;Ergonomic Ergonomic;Handcrafted
6;relationships;78668;Automotive;GOOD;OTHER;Associate Chicken;2022-05-21T01:48:39;2022-05-20T17:45:09;2022-05-20T17:35:41;multi-byte clicks-and-mortar Outdoors;Martinique Executive Down-sized
7;transitional;80631;Practical Solutions Tuvalu;EXCELLENT;DRINK;Home Vista Bedfordshire;2022-05-21T09:08:50;2022-05-21T12:51:12;2022-05-21T01:12:57;e-services Security Colombian;project bypassing
8;non-volatile Technician;76795;Borders Pula;EXCELLENT;SANDWICH;transmit;2022-05-21T01:02:26;2022-05-21T12:05:07;2022-05-21T08:28:54;Sausages;Computers Man
9;Electronics;20046;Engineer generating;VERY_GOOD;DRINK;Loan portals;2022-05-21T12:20:09;2022-05-21T00:26:21;2022-05-21T13:18:43;Pike;Account Representative markets
10;adapter Keyboard Industrial;11276;back-end application;GOOD;OTHER;Concrete Venezuela JBOD;2022-05-21T15:44:27;2022-05-21T11:39:07;2022-05-21T12:02:33;Web;Facilitator Nebraska
