id;transaction_id;transaction_status;order_number;payment_method;created_date;modified_date
1;Kentucky;SUCCESSFUL;Polarised;CARD;2022-05-20T16:48:03;2022-05-20T19:45:04
2;Representative B2B;REFUNDED;Buckinghamshire Shirt red;CASH;2022-05-21T07:31:32;2022-05-21T07:12:38
3;internet;PENDING;Engineer Fresh mission-critical;CARD;2022-05-20T17:24:12;2022-05-21T14:22:35
4;Operations;PENDING;Zimbabwe Licensed Cambridgeshire;CASH;2022-05-21T06:47:05;2022-05-21T09:41:11
5;Technician navigating;REFUNDED;Course;CASH;2022-05-20T21:00:08;2022-05-20T21:54:21
6;cross-platform;FAILED;optimize;CARD;2022-05-21T03:27:23;2022-05-21T04:21:32
7;Pizza Facilitator;FAILED;withdrawal Cloned;CASH;2022-05-21T09:51:07;2022-05-21T12:48:16
8;Fish Island;REFUNDED;Rica IB Alabama;CASH;2022-05-21T10:20:37;2022-05-21T06:41:54
9;Dynamic generation maximize;REFUNDED;Corporate Forward;CASH;2022-05-21T06:19:23;2022-05-20T23:33:20
10;optical Avon;PENDING;Group Architect holistic;CARD;2022-05-21T00:00:48;2022-05-21T04:17:15
